innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,performance
2899131392,42,1,2,15506432,1044480,7352320,3072,85289984,42186752,39.55
923974656,31,0,2,5328896,9714688,51493888,38912,40229888,10735616,39.52
629097472,19,1,2,3272704,7510016,10916864,39936,107270144,1241088,39.52
589718528,17,0,2,12852224,5244928,39972864,35840,6894592,41783296,39.52
520978432,8,1,2,7499776,2877440,3502080,26624,13559808,14106624,39.49
472404992,19,0,2,6717440,7391232,49908736,25600,13348864,29425664,39.48
806928384,22,0,2,16754688,13368320,9680896,41984,2544640,54279168,39.46
246177792,49,0,2,1033216,6744064,58596352,8192,103818240,32523264,39.37
684456960,24,1,2,2222080,7464960,37557248,17408,66127872,48748544,39.35
182776832,21,1,2,15867904,1422336,18522112,10240,92248064,37149696,39.33
286656512,7,0,0,15492096,16335872,21157888,3072,76574720,45065216,39.32
220989440,7,1,0,5259264,245760,32278528,41984,105502720,62286848,39.22
243040256,43,1,2,2375680,1291264,40022016,15360,88205312,63601664,39.17
865029120,46,0,0,11807744,9216000,19293184,15360,65199104,33232896,39.15
198322176,41,0,0,10650624,14653440,1523712,7168,79848448,44875776,39.15
723557376,16,0,0,2849792,5161984,28085248,17408,74177536,36252672,39.12
660403200,29,1,0,7114752,2271232,43025408,4096,31936512,28911616,39.07
809009152,33,1,0,7134208,8512512,36088832,21504,77885440,4997120,38.99
788035584,10,0,2,636928,3753984,11967488,28672,86377472,15467520,38.97
130846720,18,0,0,14306304,9661440,64407552,48128,97152000,36392960,38.97
819917824,38,1,0,5434368,15174656,11412480,28672,57402368,49561600,38.95
330036224,25,0,0,13890560,13252608,66856960,43008,96277504,26601472,38.91
1858298880,45,1,2,1069056,13318144,2278400,47104,1272832,53121024,38.91
1942471680,19,1,0,8091648,9550848,10210304,36864,107589632,29095936,38.91
654992384,20,0,2,2633728,2260992,48783360,10240,65868800,56399872,38.87
435305472,34,1,2,456704,3510272,43848704,1024,88054784,16026624,38.87
413961216,14,0,0,3289088,2785280,7017472,7168,41083904,36624384,38.84
505133056,9,0,0,158720,5472256,48195584,23552,4571136,40339456,38.82
547111936,47,0,2,2249728,15648768,5997568,36864,106678272,42412032,38.74
417800192,21,0,2,14240768,14441472,52775936,34816,91395072,1293312,38.71
502909952,9,1,0,14025728,6422528,60441600,40960,67035136,17516544,38.7
613190656,31,1,0,919552,10423296,7879680,4096,62204928,24672256,38.68
616292352,18,1,2,6506496,9195520,46211072,33792,25404416,12044288,38.66
995853312,31,1,2,7829504,14392320,57959424,43008,124145664,20123648,38.66
331556864,40,0,0,556032,280576,17164288,5120,84048896,594944,38.64
200139776,27,0,0,1829888,2460672,7359488,46080,306176,13234176,38.64
167104512,46,0,2,15448064,2209792,12410880,44032,88299520,17061888,38.63
785267712,12,1,2,11147264,12071936,6133760,30720,126278656,10150912,38.63
892871680,22,0,0,11374592,10474496,32742400,34816,13553664,29443072,38.63
544952320,39,0,0,5069824,6905856,837632,31744,43648000,1810432,38.6
228317184,10,1,0,8786944,12271616,54847488,33792,89369600,13209600,38.6
480073728,25,1,2,15805440,10812416,31263744,34816,131561472,46440448,38.6
184246272,19,1,2,11369472,12601344,48425984,13312,20933632,42193920,38.55
675205120,28,0,2,14548992,16544768,22065152,1024,46236672,61775872,38.53
703518720,26,0,2,2535424,15949824,59857920,16384,54587392,41797632,38.52
379071488,29,1,0,4974592,1216512,32152576,37888,49832960,64709632,38.51
313345024,45,1,0,9827328,11548672,57489408,27648,38199296,8240128,38.5
725695488,34,0,2,3681280,197632,38064128,40960,60747776,14525440,38.5
266817536,47,0,0,8360960,15553536,10350592,43008,6179840,23232512,38.49
971771904,35,0,1,1032192,10764288,43326464,8192,87287808,17888256,38.45
830616576,29,1,0,6493184,9995264,25161728,20480,17210368,23570432,38.39
2567772160,26,1,2,6879232,9546752,26004480,48128,21275648,1676288,38.39
1030348800,38,1,2,8028160,2174976,59765760,35840,31202304,20560896,38.38
316735488,23,1,2,4900864,9077760,61283328,12288,42380288,58829824,38.37
1069265920,29,0,2,6915072,4716544,30178304,49152,56687616,62046208,38.34
398675968,32,1,2,14286848,16563200,15059968,47104,104007680,35139584,38.29
194371584,0,0,0,11011072,8930304,62412800,9216,130570240,47543296,38.24
882634752,16,1,2,7712768,4093952,11601920,26624,24407040,37965824,38.24
522848256,34,0,2,13411328,7753728,35969024,32768,67829760,46416896,38.24
696054784,20,0,2,11521024,12430336,50835456,20480,98998272,19835904,38.16
521099264,0,1,2,15703040,9779200,47293440,39936,106056704,53128192,38.11
609035264,25,0,2,1690624,7865344,46209024,25600,26370048,596992,38.09
317353984,36,1,0,3745792,16620544,44184576,27648,64917504,51733504,37.98
2960736256,36,1,2,10979328,1425408,43377664,20480,20157440,19559424,37.97
510288896,30,1,0,15219712,14108672,41899008,39936,93721600,7180288,37.96
431980544,34,0,2,6541312,7470080,25936896,26624,17510400,40584192,37.87
261294080,32,1,0,7352320,14201856,14765056,27648,96464896,33051648,37.75
938403840,35,0,2,7432192,9662464,63446016,6144,65910784,47503360,37.73
405492736,31,1,2,8437760,1737728,36782080,50176,69140480,22177792,37.61
2475727872,44,1,0,13190144,7159808,60633088,8192,130909184,8492032,37.53
2092280832,35,0,0,15362048,8961024,40519680,8192,29805568,15911936,37.5
336311296,21,0,0,8542208,10204160,32140288,45056,3190784,51420160,37.09
171011072,41,0,0,15965184,11656192,25795584,50176,5142528,11059200,36.58
1459301376,7,1,0,8889344,16353280,16102400,36864,86735872,28992512,36.44
1358620672,7,0,0,5591040,11266048,21719040,46080,384000,43324416,36.35
1603103744,28,1,2,14288896,6066176,53803008,4096,46258176,32972800,36.03
3137335296,31,0,2,16030720,960512,47643648,2048,106560512,24010752,36.02
1225927680,34,0,2,8912896,8309760,35121152,17408,115057664,63278080,35.96
1650712576,3,1,0,5371904,720896,18256896,46080,26990592,10405888,35.88
2190442496,31,1,0,1731584,7445504,63333376,11264,88133632,38991872,35.84
